,0
0,Montana
1,Arizona
2,Alabama
3,New York
4,Colorado
5,Vermont
6,New Jersey
7,Kansas
8,West Virginia
9,Wyoming
10,Louisiana
11,Maryland
12,Nevada
13,North Carolina
14,Delaware
15,Oregon
16,Florida
17,Massachusetts
18,Texas
19,Maine
20,Wisconsin
21,Arkansas
22,South Carolina
23,Oklahoma
24,Mississippi
25,Tennessee
26,Nebraska
27,Minnesota
28,Virginia
29,North Dakota
30,Illinois
31,Alaska
32,Utah
33,Indiana
34,Washington
35,California
36,Iowa
37,South Dakota
38,Connecticut
39,Hawaii
40,New Mexico
41,Georgia
42,Kentucky
43,Ohio
44,New Hampshire
45,Pennsylvania
46,Missouri
47,Michigan
48,Rhode Island
