French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
ville,city
chaque,each
arrivé,come
devrait,should
bébé,baby
heures,hours
vont,will
revoir,meet again
aucune,any
place,square
parle,speak
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
trouve,find
premier,first
perdu,lost
main,hand
côté,side
pouvoir,power
tiens,here
point,point
venu,came
suite,after
pardon,sorry
devant,in front of
vers,towards
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
espère,hope
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
loin,far
fin,end
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
